1	NM_130786.4
2	NM_000014.6
9	NM_000662.8
10	NM_000015.3
12	NM_001085.5
13	NM_001086.3
14	NM_001087.5
15	NM_001088.3
16	NM_001605.3
18	NM_020686.6
19	NM_005502.4
20	NM_001606.5
21	NM_001089.3
22	NM_001271696.3
23	NM_001025091.2
24	NM_000350.3
25	NM_005157.6
26	NM_001091.4
27	NM_007314.4
29	NM_021962.5
30	NM_001607.4
31	NM_198834.3
32	NM_001093.4
33	NM_001608.4
34	NM_000016.6
35	NM_000017.4
36	NM_001609.4
37	NM_000018.4
38	NM_000019.4
39	NM_005891.3
40	NM_183377.2
41	NM_001095.4
43	NM_000665.5
47	NM_001096.3
48	NM_002197.3
49	NM_001097.3
50	NM_001098.3
51	NM_004035.7
52	NM_004300.4
53	NM_001610.4
54	NM_001611.5
55	NM_001099.5
56	NM_001612.6
58	NM_001100.4
59	NM_001613.4
60	NM_001101.5
70	NM_005159.5
71	NM_001614.5
72	NM_001615.4
81	NM_004924.6
86	NM_004301.5
87	NM_001130004.2
88	NM_001103.4
89	NM_001104.4
90	NM_001111067.4
91	NM_004302.5
92	NM_001616.5
93	NM_001106.4
94	NM_000020.3
95	NM_000666.3
97	NM_001107.5
98	NM_138448.4
100	NM_000022.4
101	NM_001109.5
102	NM_001110.4
103	NM_001111.5
104	NM_001112.4
105	NM_018702.4
107	NM_021116.4
108	NM_020546.3
109	NM_004036.5
111	NM_183357.3
112	NM_015270.5
113	NM_001114.5
114	NM_001115.3
115	NM_001116.4
116	NM_001099733.2
117	NM_001118.5
118	NM_001354761.2
119	NM_001617.4
120	NM_016824.5
123	NM_001122.4
124	NM_000667.4
125	NM_000668.6
126	NM_000669.5
127	NM_000670.5
128	NM_000671.4
130	NM_001102470.2
131	NM_000673.7
132	NM_006721.4
133	NM_001124.3
134	NM_000674.3
135	NM_000675.6
136	NM_000676.4
140	NM_000677.4
141	NM_001125.4
142	NM_001618.4
143	NM_006437.4
146	NM_000678.4
147	NM_000679.4
148	NM_000680.4
150	NM_000681.4
151	NM_000682.7
152	NM_000683.4
153	NM_000684.3
154	NM_000024.6
155	NM_000025.3
156	NM_001619.5
157	NM_005160.4
158	NM_000026.4
159	NM_001126.5
160	NM_130787.3
161	NM_012305.4
162	NM_001127.4
163	NM_001030006.2
164	NM_001128.6
165	NM_001129.5
166	NM_001130.6
167	NM_001131.3
173	NM_001133.2
174	NM_001134.3
175	NM_000027.4
176	NM_001369268.1
177	NM_001136.5
178	NM_000642.3
181	NM_001138.2
182	NM_000214.3
183	NM_001384479.1
185	NM_000685.5
186	NM_000686.5
187	NM_005161.6
189	NM_000030.3
190	NM_000475.5
191	NM_000687.4
196	NM_001621.5
197	NM_001622.4
199	NM_001623.5
202	NM_001371242.2
203	NM_000476.3
204	NM_001625.4
205	NM_013410.4
207	NM_001382430.1
208	NM_001626.6
210	NM_000031.6
211	NM_000688.6
212	NM_000032.5
213	NM_000477.7
214	NM_001627.4
215	NM_000033.4
216	NM_000689.5
217	NM_000690.4
218	NM_000691.5
219	NM_000692.5
220	NM_000693.4
221	NM_000694.4
222	NM_001393402.2
223	NM_000696.4
224	NM_000382.3
225	NM_005164.4
226	NM_001243177.4
229	NM_000035.4
230	NM_005165.3
231	NM_001628.4
238	NM_004304.5
239	NM_000697.3
240	NM_000698.5
241	NM_001629.4
242	NM_001139.3
246	NM_001140.5
247	NM_001141.3
248	NM_001631.5
249	NM_000478.6
250	NM_001632.5
251	NM_031313.3
257	NM_006492.3
258	NM_016519.6
259	NM_001633.4
262	NM_001634.6
265	NM_001142.2
266	NM_001143.2
267	NM_001144.6
268	NM_000479.5
269	NM_020547.3
270	NM_000036.3
271	NM_001368809.2
272	NM_001025389.2
273	NM_001635.4
274	NM_139343.3
275	NM_000481.4
276	NM_004038.4
277	NM_001008218.2
278	NM_001008219.3
279	NM_000699.4
280	NM_001387437.1
283	NM_001097577.3
284	NM_001146.5
285	NM_001118887.2
286	NM_000037.4
287	NM_001148.6
288	NM_020987.5
290	NM_001150.3
291	NM_001151.4
292	NM_001152.5
293	NM_001636.4
301	NM_000700.3
302	NM_004039.3
306	NM_005139.3
307	NM_001153.5
308	NM_001154.4
309	NM_001155.5
310	NM_001156.5
311	NM_145868.2
312	NM_004306.4
313	NM_001637.4
314	NM_009590.4
316	NM_001159.4
317	NM_181861.2
318	NM_001161.5
319	NM_001638.4
320	NM_001163.4
321	NM_001353788.2
322	NM_001164.5
323	NM_004307.2
324	NM_000038.6
325	NM_001639.4
326	NM_000383.4
327	NM_001640.4
328	NM_001641.4
329	NM_001166.5
330	NM_001165.5
331	NM_001167.4
332	NM_001168.3
333	NM_001024807.3
334	NM_001142276.2
335	NM_000039.3
336	NM_001643.2
337	NM_000482.4
338	NM_000384.3
339	NM_001644.5
341	NM_001645.5
343	NM_001169.3
344	NM_000483.5
345	NM_000040.3
346	NM_001646.3
